Provider_Number,Network,Facility_Name,Five_Star_Date,Five_Star,Five_Star_Data_Availability_Code,Address_Line_1,Address_Line_2,City,State,Zip,County,Profit_or_NonProfit,Chain_Owned,Chain_Organization,#_of_Dialysis_Stations,Offers_in-center_hemodialysis,Offers_peritoneal_dialysis,Offers_home_hemodialysis_training,Patient_Transfusion_category_text,Number_of_patients_included_in_the_transfusion_summary,Number_of_patients_in_hypercalcemia_summary,Number_of_patient-months_in_hypercalcemia_summary,Number_of_patients_in_Serum_phosphorus_summary,Number_of_patient-months_in_Serum_phosphorus_summary_,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,patients_included_hospitalization_summary,hospitalizations_in_hospital_readmission_summary,Number_of_Patients_included_in_survival_summary,Mortality_Rate_(Facility),Readmission_Rate_(Facility),Hospitalization_Rate_(Facility),Patient_Infection_category_text,Transfusion_Rate_(Facility),Fistula_Category_Text,Number_of_Patients_included_in_fistula_summary,Fistula_Rate_(Facility),Number_of_patients_in_long_term_catheter_summary,Number_of_patient_months_in_long_term_catheter_summary,Number_of_patients_in_nPCR_summary,Number_of_patient-months_in_nPCR_summary,SWR_category_text,Number_of_patients_in_this_facility_for_SWR,PPPW_category_text,Number_of_patients_for_PPPW
12500,8,FMC CAPITOL CITY,01/01/2016-12/31/2019,3,1,255 S JACKSON STREET,,MONTGOMERY,AL,36104,MONTGOMERY,Profit,Yes,FRESENIUS MEDICAL CARE,34,1,1,1,As Expected,84,128,1206,137,1225,As Expected,As Expected,As Expected,102,91,404,22.4,23.7,148.7,Better than Expected,13.8,Worse than Expected,138,42.7,138,1277,0,,Worse than Expected,56,As Expected,116
12516,8,DSI SOUTH DIALYSIS,01/01/2016-12/31/2019,3,1,3201 3RD AVE SOUTH,,BIRMINGHAM,AL,35222,JEFFERSON,Profit,Yes,DIVERSIFIED SPECIALTY INSTITUTES (DSI),20,1,1,1,As Expected,42,60,581,63,601,As Expected,As Expected,As Expected,46,51,203,26.1,32.2,244.7,As Expected,47.7,As Expected,54,40.9,54,539,0,,Not Available,15,As Expected,49
12517,8,DAVITA ATHENS DIALYSIS,01/01/2016-12/31/2019,3,1,15953 ATHENS LIMESTONE DRIVE,,ATHENS,AL,35613,LIMESTONE,Profit,Yes,DAVITA,12,1,1,1,Worse than Expected,68,95,796,99,820,As Expected,As Expected,Worse than Expected,78,90,346,31.4,39.1,214,As Expected,59.8,As Expected,99,61.9,99,829,0,,As Expected,50,As Expected,81
12519,8,FMC SCOTTSBORO,01/01/2016-12/31/2019,5,1,20998 JOHN T. REID HWY,,SCOTTSBORO,AL,35768,JACKSON,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,0,0,As Expected,58,87,780,90,822,As Expected,As Expected,As Expected,68,65,269,23,15.4,129.2,As Expected,18.5,As Expected,89,61.1,89,809,1,5,As Expected,47,As Expected,73
12520,8,FRESENIUS KIDNEY CARE TROY,01/01/2016-12/31/2019,4,1,606 BOTTS AVE,,TROY,AL,36081,PIKE,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,0,0,As Expected,51,72,685,76,727,As Expected,As Expected,As Expected,57,48,203,23.1,22.4,170.1,As Expected,6.6,As Expected,76,47.3,76,729,0,,As Expected,29,As Expected,61
12521,8,DCI DOTHAN,01/01/2016-12/31/2019,4,1,1630 COLUMBIA HWY,,DOTHAN,AL,36303,HOUSTON,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",33,1,1,0,As Expected,113,153,1406,167,1502,As Expected,As Expected,As Expected,133,163,517,21.4,29.5,182.4,As Expected,26.1,As Expected,126,52.9,126,1146,0,,As Expected,60,As Expected,134
12522,8,FMC HUNTSVILLE,01/01/2016-12/31/2019,4,1,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,31,1,0,0,As Expected,50,67,588,72,605,As Expected,As Expected,As Expected,57,51,252,21.6,25.5,152.1,As Expected,48.1,As Expected,71,62.4,71,608,0,,As Expected,27,As Expected,70
12523,8,DAVITA PHENIX CITY DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,4391 RIVERCHASE DRIVE,,PHENIX CITY,AL,36867,RUSSELL,Profit,Yes,DAVITA,20,1,1,0,As Expected,60,91,830,95,860,As Expected,As Expected,Worse than Expected,73,71,336,30.7,20.1,183.7,As Expected,13.4,As Expected,87,67,87,760,0,,As Expected,28,As Expected,83
12524,8,FMC EAST MOBILE,01/01/2016-12/31/2019,3,1,1217 GOVERNMENT ST,,MOBILE,AL,36604,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,29,1,1,1,As Expected,127,199,1708,212,1773,As Expected,As Expected,As Expected,143,151,558,28.8,31.4,238.5,As Expected,14.9,As Expected,133,54.4,133,1131,0,,As Expected,95,As Expected,211
12531,8,FMC JACKSON (TOMBIGBEE),01/01/2016-12/31/2019,4,1,215 WALKER SPRINGS RD,,JACKSON,AL,36545,CLARKE,Profit,Yes,FRESENIUS MEDICAL CARE,25,1,1,1,As Expected,79,110,976,115,1029,As Expected,As Expected,As Expected,87,72,333,25.3,27.1,175.7,As Expected,8,As Expected,99,49.3,99,860,0,,As Expected,40,As Expected,98
12532,8,DCI EUFAULA,01/01/2016-12/31/2019,5,1,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,BARBOUR,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",14,1,0,0,As Expected,39,56,541,60,564,As Expected,As Expected,As Expected,48,31,185,27.9,10.7,99.1,As Expected,8.1,As Expected,60,59,60,564,0,,Not Available,22,As Expected,35
12579,8,FMC DAUPHIN ISLAND PKWY,01/01/2016-12/31/2019,4,1,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,20,1,0,0,As Expected,59,91,854,93,878,As Expected,Worse than Expected,As Expected,67,84,282,18.9,47.6,252.4,As Expected,8.3,As Expected,93,59.6,93,886,0,,As Expected,37,As Expected,83
12580,8,FMC THOMASVILLE,01/01/2016-12/31/2019,3,1,30230 HWY 43,,THOMASVILLE,AL,36784,CLARKE,Profit,Yes,FRESENIUS MEDICAL CARE,20,1,1,1,As Expected,43,53,479,56,477,As Expected,As Expected,As Expected,47,37,191,21.2,22.5,147.9,As Expected,29.2,As Expected,55,38.3,55,484,0,,As Expected,30,As Expected,58
12582,8,FMC WILCOX,01/01/2016-12/31/2019,4,1,229 CAMDEN BYPASS,,CAMDEN,AL,36726,WILCOX,Profit,Yes,FRESENIUS MEDICAL CARE,10,1,0,0,As Expected,37,54,477,54,476,As Expected,As Expected,As Expected,43,35,162,16.2,15.1,184.7,As Expected,20.9,As Expected,54,55.5,54,492,0,,As Expected,23,As Expected,40
12583,8,DAVITA BESSEMER DIALYSIS,01/01/2016-12/31/2019,3,1,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,JEFFERSON,Profit,Yes,DAVITA,16,1,0,0,As Expected,35,57,489,60,498,As Expected,As Expected,As Expected,40,25,178,26.8,32.6,124.3,As Expected,22.2,As Expected,63,45.8,63,507,0,,As Expected,27,As Expected,50
12585,8,DAVITA ENSLEY DIALYSIS,01/01/2016-12/31/2019,4,1,2630 AVENUE E,,BIRMINGHAM,AL,35218,JEFFERSON,Profit,Yes,DAVITA,24,1,0,0,As Expected,72,100,922,107,965,As Expected,As Expected,As Expected,81,59,323,24.3,21.7,173.6,As Expected,7.6,Worse than Expected,107,35.6,107,968,0,,As Expected,44,As Expected,90
12588,8,DAVITA SYLACAUGA DIALYSIS,01/01/2016-12/31/2019,3,1,331 JAMES PAYTON BLVD,,SYLACAUGA,AL,35150,TALLADEGA,Profit,Yes,DAVITA,18,1,1,1,As Expected,38,51,472,53,492,As Expected,As Expected,Worse than Expected,41,51,207,31.9,35.6,187.9,As Expected,27.7,As Expected,45,51.1,45,403,0,,Not Available,22,As Expected,41
12594,8,DAVITA BOAZ DIALYSIS,01/01/2016-12/31/2019,5,1,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,MARSHALL,Profit,Yes,DAVITA,12,1,0,0,As Expected,51,59,522,61,540,As Expected,As Expected,As Expected,56,85,203,17.3,28.3,181.7,As Expected,24.3,As Expected,61,75.3,61,541,0,,Not Available,18,As Expected,48
12595,8,RCG FORT PAYNE,01/01/2016-12/31/2019,5,1,2202 JORDAN ROAD SW,SUITE 100,FORT PAYNE,AL,35968,,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,1,1,As Expected,52,67,598,74,653,As Expected,As Expected,As Expected,60,59,235,21.3,18.4,159.7,Better than Expected,27.8,As Expected,68,63.1,68,564,0,,As Expected,33,As Expected,58
12596,8,FKC MONTGOMERY,01/01/2016-12/31/2019,3,1,3625 MCGEHEE PLACE DRIVE NORTH,,MONTGOMERY,AL,36111,MONTGOMERY,Profit,Yes,FRESENIUS MEDICAL CARE,33,1,0,0,As Expected,99,133,1313,142,1357,As Expected,Better than Expected,As Expected,110,142,443,21.1,17,248.2,Better than Expected,9.9,As Expected,141,48,141,1347,0,,As Expected,50,As Expected,125
12566,8,FMC SYLACAUGA,01/01/2016-12/31/2019,3,1,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,TALLADEGA,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,32,42,394,47,417,As Expected,As Expected,As Expected,40,38,166,26.8,35.4,210.3,As Expected,30.2,As Expected,45,57.2,45,411,0,,Not Available,19,As Expected,39
12568,8,FMC PARKWAY,01/01/2016-12/31/2019,3,1,1311 N MEMORIAL PKWY STE 100,,HUNTSVILLE,AL,35801,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,15,1,0,0,As Expected,41,56,530,57,538,As Expected,As Expected,As Expected,48,56,215,29.8,40.2,186.9,As Expected,40.5,As Expected,57,63.8,57,547,0,,Not Available,26,As Expected,46
12570,8,DAVITA NORTHORT DIALYSIS,01/01/2016-12/31/2019,3,1,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,TUSCALOOSA,Profit,Yes,DAVITA,14,1,0,0,As Expected,64,87,747,89,755,As Expected,Better than Expected,As Expected,72,91,295,25.5,14.1,193.2,As Expected,3.3,As Expected,93,47.9,93,792,0,,As Expected,48,As Expected,79
12571,8,DCI GEORGIANA,01/01/2016-12/31/2019,4,1,715 MEETING ST,,GEORGIANA,AL,36033,BUTLER,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",10,1,0,0,As Expected,22,27,281,27,281,As Expected,As Expected,As Expected,27,45,118,16.7,25.2,216.5,As Expected,0,As Expected,27,48.9,27,274,0,,Not Available,12,As Expected,24
12572,8,FMC CAMELLIA,01/01/2016-12/31/2019,2,1,350 PAUL STABLER DRIVE,,GREENVILLE,AL,36037,BUTLER,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,0,0,As Expected,58,77,697,81,689,As Expected,As Expected,As Expected,68,69,283,28.2,33,178,Better than Expected,26.9,As Expected,85,46.3,85,711,0,,As Expected,28,As Expected,73
12573,8,DCI BIRMINGHAM,01/01/2016-12/31/2019,5,1,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,JEFFERSON,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",16,1,1,0,As Expected,33,44,411,47,439,As Expected,As Expected,As Expected,35,29,164,17.7,21.6,169.1,As Expected,5,As Expected,47,61.9,47,441,0,,Not Available,22,As Expected,34
12535,8,DAVITA PDI-PRATTVILLE,01/01/2016-12/31/2019,4,1,600 MCQUEEN SMITH ROAD SOUTH,,PRATTVILLE,AL,36066,AUTAUGA,Profit,Yes,DAVITA,16,1,0,0,As Expected,47,64,567,64,565,As Expected,As Expected,As Expected,53,62,232,21.2,30.6,208.2,Better than Expected,12.3,As Expected,65,66.1,65,575,0,,As Expected,22,As Expected,55
12536,8,FMC MONTCLAIR,01/01/2016-12/31/2019,4,1,7780 LUDINGTON LANE,,BIRMINGHAM,AL,35210,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,0,0,Worse than Expected,50,65,608,69,634,As Expected,As Expected,As Expected,52,74,217,17.2,22.3,225.7,As Expected,51,As Expected,69,47.2,69,642,0,,Not Available,12,As Expected,55
12537,8,FMC PRICHARD,01/01/2016-12/31/2019,4,1,4016 HWY 45,,WHISTLER,AL,36613,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,25,1,0,0,As Expected,66,108,986,110,1031,As Expected,As Expected,As Expected,75,79,327,26.3,26.7,224.4,As Expected,8.9,As Expected,112,53.6,112,1043,1,1,As Expected,60,As Expected,92
12538,8,RCG ANDALUSIA,01/01/2016-12/31/2019,4,1,1208 WEST BYPASS,,ANDALUSIA,AL,36420,COVINGTON,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,1,1,As Expected,57,73,618,79,656,As Expected,As Expected,As Expected,69,113,246,21.3,21,225.5,As Expected,20.4,As Expected,70,62.1,70,536,0,,As Expected,33,As Expected,62
12540,8,FMC MONROEVILLE (WHETSTONE),01/01/2016-12/31/2019,4,1,676 S ALABAMA AVE,,MONROEVILLE,AL,36460,MONROE,Profit,Yes,FRESENIUS MEDICAL CARE,20,1,1,1,As Expected,60,76,721,81,759,As Expected,As Expected,As Expected,64,55,230,25.1,22.4,158.8,As Expected,14.9,As Expected,76,56.1,76,703,0,,As Expected,29,As Expected,67
12541,8,FMC DADEVILLE,01/01/2016-12/31/2019,5,1,52 WATERWORKS RD,,DADEVILLE,AL,36853,TALLAPOOSA,Profit,Yes,FRESENIUS MEDICAL CARE,15,1,0,0,As Expected,40,52,556,53,565,As Expected,As Expected,As Expected,43,26,195,15.6,8.6,88.2,As Expected,2.9,Better than Expected,53,93,53,571,0,,Not Available,17,As Expected,37
12542,8,DAVITA RAINBOW CITY DIALYSIS,01/01/2016-12/31/2019,5,1,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,ETOWAH,Profit,Yes,DAVITA,16,1,1,1,As Expected,44,72,598,77,637,As Expected,As Expected,As Expected,53,60,241,28.1,17.7,202,As Expected,26.5,As Expected,55,73.9,55,482,0,,As Expected,34,As Expected,65
12543,8,DAVITA DEMOPOLIS DIALYSIS,01/01/2016-12/31/2019,4,1,511 S CEDAR AVE,,DEMOPOLIS,AL,36732,MARENGO,Profit,Yes,DAVITA,15,1,1,0,As Expected,52,67,630,73,656,As Expected,As Expected,Worse than Expected,57,53,262,32.7,21.7,161.7,Better than Expected,5.7,Worse than Expected,68,35.7,68,614,0,,As Expected,27,As Expected,63
12589,8,DAVITA BIRMINGHAM NORTH DIALYSIS,01/01/2016-12/31/2019,3,1,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,JEFFERSON,Profit,Yes,DAVITA,24,1,0,0,As Expected,61,96,940,96,977,As Expected,As Expected,As Expected,65,58,290,22.6,24.4,157,As Expected,31.1,Worse than Expected,97,39.3,97,982,0,,Worse than Expected,32,As Expected,86
12590,8,DCI MOULTON,01/01/2016-12/31/2019,4,1,1962 MAIN STREET,,MOULTON,AL,35650,LAWRENCE,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",12,1,0,0,As Expected,28,34,316,38,346,As Expected,As Expected,As Expected,32,31,148,28.5,30.8,115.9,As Expected,42.7,As Expected,35,72.3,35,330,0,,Not Available,23,As Expected,27
12591,8,"NNA OF ALABAMA, INC",01/01/2016-12/31/2019,3,1,1010 FIRST STREET NORTH,SUITE 100,ALABASTER,AL,35007,SHELBY,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,0,0,As Expected,48,65,572,66,570,As Expected,As Expected,As Expected,55,61,212,20.4,25.5,192.2,As Expected,43.9,As Expected,66,54.9,66,588,0,,Not Available,15,As Expected,53
12592,8,DAVITA BIRMINGHAM CENTRAL DIALYSIS,01/01/2016-12/31/2019,3,1,728 RICHARD ARRINGTON BLVD S,,BIRMINGHAM,AL,35233,JEFFERSON,Profit,Yes,DAVITA,32,1,0,0,As Expected,58,85,791,87,815,As Expected,As Expected,As Expected,62,59,259,26.8,30.3,173.2,As Expected,28.2,As Expected,87,43.2,87,813,0,,As Expected,36,As Expected,79
12593,8,FMC ODYSSEY DIALYSIS,01/01/2016-12/31/2019,5,1,40 HUGHES ROAD,,MADISON,AL,35758,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,15,1,0,0,As Expected,51,62,529,67,537,As Expected,As Expected,As Expected,56,48,213,20.5,23.9,145.9,Better than Expected,31.7,As Expected,67,61.1,67,546,0,,As Expected,30,As Expected,55
12508,8,DAVITA BIRMINGHAM EAST DIALYSIS,01/01/2016-12/31/2019,3,1,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,JEFFERSON,Profit,Yes,DAVITA,20,1,0,0,As Expected,44,63,533,70,543,As Expected,As Expected,Worse than Expected,52,61,271,32.3,33.6,228.9,As Expected,45.7,As Expected,70,45.4,70,545,0,,As Expected,43,As Expected,64
12509,8,FMC NORTH ALABAMA,01/01/2016-12/31/2019,3,1,1311 N MEMORIAL PKWY #200,,HUNTSVILLE,AL,35801,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,22,1,1,0,As Expected,53,77,723,78,718,As Expected,As Expected,As Expected,59,60,257,29.2,29.9,186.9,As Expected,42.6,As Expected,79,66.7,79,741,0,,As Expected,44,As Expected,70
12512,8,FMC SELMA,01/01/2016-12/31/2019,4,1,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,DALLAS,Profit,Yes,FRESENIUS MEDICAL CARE,26,1,0,0,As Expected,71,85,842,91,863,As Expected,As Expected,As Expected,74,69,290,21.5,21.1,163,As Expected,30.3,As Expected,83,60,83,799,0,,As Expected,36,As Expected,70
12513,8,FMC LANGDALE,01/01/2016-12/31/2019,5,1,8 MEDICAL PARK,,VALLEY,AL,36854,CHAMBERS,Profit,Yes,FRESENIUS MEDICAL CARE,19,1,0,0,As Expected,61,78,779,83,791,As Expected,As Expected,As Expected,66,52,249,18.1,24.9,144.1,As Expected,41,Better than Expected,83,94.2,83,804,0,,As Expected,26,As Expected,69
12515,8,FMC OPELIKA,01/01/2016-12/31/2019,5,1,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,LEE,Profit,Yes,FRESENIUS MEDICAL CARE,31,1,1,1,As Expected,110,148,1375,155,1424,As Expected,As Expected,As Expected,116,79,466,19.7,16.7,113.4,As Expected,13.2,Better than Expected,128,81.2,128,1188,0,,As Expected,59,As Expected,144
12558,8,DCI DECATUR,01/01/2016-12/31/2019,3,1,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,MORGAN,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",24,1,0,0,As Expected,47,70,694,71,695,As Expected,As Expected,As Expected,60,68,471,26.8,32.6,166,As Expected,19.4,As Expected,70,70.7,70,685,0,,As Expected,63,As Expected,47
12559,8,FMC UNIVERSITY SOUTH ALABAMA,01/01/2016-12/31/2019,3,1,700 CLINIC DRIVE,,MOBILE,AL,36688,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,22,1,1,1,As Expected,63,105,957,112,976,As Expected,As Expected,As Expected,75,89,313,22.7,27.1,230.8,As Expected,15.2,As Expected,92,43.9,92,830,0,,As Expected,43,As Expected,103
12561,8,FKC ARAB,01/01/2016-12/31/2019,5,1,310 SOUTH BRINDLEE MOUNTAIN PARKWAY,,ARAB,AL,35016,MARSHALL,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,0,0,As Expected,39,59,501,70,547,As Expected,As Expected,As Expected,42,35,225,23.6,10.3,136.4,Better than Expected,16.9,As Expected,70,63.8,70,548,0,,Not Available,34,As Expected,58
12562,8,DCI PELL CITY,01/01/2016-12/31/2019,4,1,62 COGSWELL DRIVE,,PELL CITY,AL,35125,SAINT CLAIR,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",15,1,0,0,As Expected,21,31,305,34,327,As Expected,As Expected,As Expected,22,15,105,29.4,34.7,93.4,As Expected,31.6,As Expected,35,61.5,35,328,0,,Not Available,12,As Expected,30
12563,8,DCI CULLMAN,01/01/2016-12/31/2019,4,1,1734 EVA ROAD NE,,CULLMAN,AL,35055,CULLMAN,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",16,1,0,0,As Expected,65,72,547,85,603,As Expected,As Expected,As Expected,76,83,317,24.9,36.7,225.6,As Expected,19.2,As Expected,83,65.4,83,601,0,,Not Available,56,As Expected,62
12565,8,DAVITA SOUTH BALDWIN DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,150 W PEACHTREE AVE,,FOLEY,AL,36535,BALDWIN,Profit,Yes,DAVITA,13,1,0,1,As Expected,21,28,264,30,268,As Expected,As Expected,As Expected,23,45,84,30.2,30.3,296.7,As Expected,52.3,As Expected,31,63.8,31,285,0,,Not Available,10,As Expected,31
